ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1772996441.151306,uniform,0.1,500,4,0.002,50,0.1960582254292224,0.0060595772693832,0.002667668342447066,0.0012693489690627782,0.008409889582100028,0.001718992715353164
1772996441.151306,uniform,0.1,500,4,0.004,50,0.1960582254292224,0.0060595772693832,0.002667668342447066,0.0012693489690627782,0.008409889582100028,0.001718992715353164
1772996441.151306,uniform,0.1,500,4,0.006,50,0.1960582254292224,0.0060595772693832,0.002667668342447066,0.0012693489690627782,0.008409889582100028,0.001718992715353164
1772996441.151306,uniform,0.1,500,4,0.008,50,0.1960582254292224,0.0060595772693832,0.002667668342447066,0.0012693489690627782,0.008409889582100028,0.001718992715353164
1772996441.151306,uniform,0.1,500,4,0.01,50,0.1960582254292224,0.0060595772693832,0.002667668342447066,0.0012693489690627782,0.008409889582100028,0.001718992715353164
1772996441.151306,uniform,0.1,500,4,0.02,50,0.1960582254292224,0.0060595772693832,0.002667668342447066,0.0012693489690627782,0.008409889582100028,0.001718992715353164
1772996441.151306,uniform,0.1,500,4,0.04,50,0.19605421582385119,0.006050506896757315,0.0026641667139178952,0.001262979046538788,0.008405879976728814,0.0017107603918421633
1772996441.151306,uniform,0.1,500,4,0.06,50,0.1959801235676704,0.006015052747054057,0.0025847488708468642,0.001175014458063836,0.008331787720548009,0.001626333713386193
1772996441.151306,uniform,0.1,500,4,0.08,50,0.19560193564043446,0.0059769784393204515,0.0021899108622231585,0.0009416277562840947,0.007953599793312095,0.0014011836959761138
1772996441.151306,uniform,0.1,500,4,0.1,50,0.19500052006323138,0.0059442539751145785,0.0015884077126857546,0.0006931714634013654,0.007352184216109015,0.0011197151384115696
1772996441.151306,uniform,0.1,500,5,0.002,50,0.20084708849732402,0.007448917026166562,0.0077001234816508335,0.0038963454779394804,0.013198752650201593,0.00445103138868126
1772996441.151306,uniform,0.1,500,5,0.004,50,0.20084708849732402,0.007448917026166562,0.0077001234816508335,0.0038963454779394804,0.013198752650201593,0.00445103138868126
1772996441.151306,uniform,0.1,500,5,0.006,50,0.20084708849732402,0.007448917026166562,0.0077001234816508335,0.0038963454779394804,0.013198752650201593,0.00445103138868126
1772996441.151306,uniform,0.1,500,5,0.008,50,0.20084719571374335,0.007449159585174419,0.007699432699969822,0.0038937258713251195,0.013198859866620984,0.004451356012409016
1772996441.151306,uniform,0.1,500,5,0.01,50,0.20084530593720032,0.007444894213259388,0.0076963412533961415,0.0038820545144107347,0.013196970090077942,0.004445649346777386
1772996441.151306,uniform,0.1,500,5,0.02,50,0.20080995988481704,0.007370202336436437,0.007651013666621184,0.0037231771341895547,0.013161624037694641,0.004346959221471733
1772996441.151306,uniform,0.1,500,5,0.04,50,0.20060802724872528,0.0071133482372039425,0.007445998028098353,0.0033354725959998176,0.012959691401602923,0.004001581702580892
1772996441.151306,uniform,0.1,500,5,0.06,50,0.19999962658692255,0.006803236903668989,0.0068150282879045265,0.002713107680966935,0.01235129073980019,0.0033680771982770234
1772996441.151306,uniform,0.1,500,5,0.08,50,0.1987262855715737,0.00649779533893928,0.005496453208689448,0.002041881122390486,0.01107794972445134,0.002672521413115092
1772996441.151306,uniform,0.1,500,5,0.1,50,0.19723541543848266,0.006260371192030559,0.003969569159205882,0.0014879026474596032,0.009587079591360318,0.002066230951430838
1772996441.151306,uniform,0.1,500,6,0.002,50,0.20934439573471036,0.00945152715368144,0.016679836128820225,0.006840843950484971,0.02169605988758794,0.006685268420236251
1772996441.151306,uniform,0.1,500,6,0.004,50,0.20934439573471036,0.00945152715368144,0.016679836128820225,0.006840843950484971,0.02169605988758794,0.006685268420236251
1772996441.151306,uniform,0.1,500,6,0.006,50,0.2093354387165088,0.009427012626141278,0.01667221708862007,0.006819342986246721,0.021687102869386386,0.006659012689573412
1772996441.151306,uniform,0.1,500,6,0.008,50,0.20931546136611184,0.009376916561100845,0.016651159943220507,0.006764161597966445,0.021667125518989444,0.006605311577373908
1772996441.151306,uniform,0.1,500,6,0.01,50,0.20929604018610287,0.009335227159659565,0.016630543548521875,0.0067162097608807906,0.02164770433898049,0.006560193014541947
1772996441.151306,uniform,0.1,500,6,0.02,50,0.20917851643591592,0.009135901838501867,0.01648035262577663,0.006407197678969088,0.02153018058879354,0.0063259315521692885
1772996441.151306,uniform,0.1,500,6,0.04,50,0.20830461326679459,0.008290897465824532,0.015572664386392956,0.005195110304683556,0.020656277419672197,0.005241445192745387
1772996441.151306,uniform,0.1,500,6,0.06,50,0.206441112630316,0.007603176761564244,0.0136598953506127,0.00395157350341253,0.01879277678319363,0.004193700635354669
1772996441.151306,uniform,0.1,500,6,0.08,50,0.20367509977784642,0.007084980447970106,0.010783283841355542,0.0029039308102260337,0.016026763930724067,0.0033057850319029376
1772996441.151306,uniform,0.1,500,6,0.1,50,0.20084640448760577,0.006698589343883637,0.00783253658796634,0.0021215732632018825,0.013198068640483363,0.002587485305011794
1772996441.151306,uniform,0.1,500,7,0.002,50,0.2265670042240481,0.017369745408370982,0.034862409277984605,0.015558814255433363,0.03891866837692569,0.015350641543342099
1772996441.151306,uniform,0.1,500,7,0.004,50,0.2268835951641131,0.01870926699286133,0.03501133897609783,0.016630463682431994,0.039235259316990685,0.016871027239540093
1772996441.151306,uniform,0.1,500,7,0.006,50,0.22667040606933994,0.01816993002530893,0.03506966945441447,0.017367620703346354,0.039022070222217556,0.016371950193883465
