G,sigma2,num_samples,M,rho,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss,NMC
1-modal,0.1,100,10,0.0001,0.1296217366941756,0.057359051131195,0.0982613229409708,0.0588302277492274,0.0946434181502369,0.0576085452772959,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,1e-05,0.120362691509507,0.0527053643643697,0.0901989227060955,0.0546517252482161,0.0853843729655684,0.0530557069861869,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,1e-06,0.1250655463578827,0.0593484213906965,0.095376787528489,0.0599651716914648,0.0900872278139441,0.0596990112486704,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,1e-07,0.1210939310567574,0.0554839667105029,0.0924847744650866,0.0582241928441582,0.0861156125128187,0.0557753010578964,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,1e-08,0.131096045551947,0.0611491986161275,0.0983530776270304,0.0622356673325689,0.0961177270080084,0.0614280772530703,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.5,0.0811548401095311,0.0195137820930572,0.0424771456433205,0.0197137373595107,0.0461765215655925,0.0191005326531534,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.25,0.0954364770913229,0.0323093893298793,0.0593851493223333,0.0335034146115177,0.0604581585473842,0.032055676703928,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.1,0.1533064188960038,0.0918367334829749,0.1195408814559139,0.0933249378391954,0.1183281003520651,0.0917638394054183,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.05,0.1588118015515289,0.0794242236665284,0.1283758639443742,0.0832431063796348,0.1238334830075903,0.079441919465194,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.025,0.1697054316429194,0.0778532874437818,0.1365279773217455,0.0818545135463409,0.1347271130989808,0.0780368286532474,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.01,0.1737091417118467,0.0787640884603453,0.1422360889451324,0.0830509391672651,0.1387308231679081,0.0788474128570714,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.001,0.1612372891433938,0.0688767570073757,0.1292569832286776,0.0723489676976003,0.1262589705994551,0.0689592534020312,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,0.0001,0.1624415103055702,0.0711540644717416,0.1300240488633238,0.0750980843354818,0.1274631917616315,0.0712252098775056,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,1e-05,0.1671847068251763,0.0695089217478554,0.1357736555810938,0.0742968131224942,0.1322063882812377,0.0695334231717005,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,1e-06,0.1653746298421895,0.077213460770041,0.1333683369434459,0.0823684686093715,0.1303963112982508,0.0773252047840189,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,1e-07,0.1652711527126712,0.0738926153707054,0.1324249915531959,0.0768670020407474,0.1302928341687325,0.0739401151941878,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,12,1e-08,0.1660735804926942,0.0735704534161661,0.1348532494434962,0.0782554740009774,0.1310952619487556,0.0736987053918042,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.5,0.1079119631761253,0.0334620944356381,0.0695878005922444,0.0334981352714722,0.0729336446321866,0.0329809571455988,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.25,0.1237911361124243,0.0473712968273517,0.0877943412136292,0.0484988050050602,0.0888128175684856,0.0470678695227964,0.0349783185439386,0.0013724219691681,10.0
